job_id,title,company,city,level,salary_min,salary_max,skills,description
job_0013,ML Engineer (junior),Company_43,Lille,junior,55000,60000,"api, mlops, python, pytorch","We are hiring a junior ML Engineer. Skills: api, mlops, python, pytorch. Location: Lille. Salary: 55000-60000."
job_0014,Data Scientist (senior),Company_61,Lille,senior,45000,60000,"ci/cd, ml, nlp, pandas, sklearn, sql","We are hiring a senior Data Scientist. Skills: ci/cd, ml, nlp, pandas, sklearn, sql. Location: Lille. Salary: 45000-60000."
job_0015,Software Engineer (junior),Company_8,Lyon,junior,35000,50000,"docker, git, java, python, react","We are hiring a junior Software Engineer. Skills: docker, git, java, python, react. Location: Lyon. Salary: 35000-50000."
job_0016,Software Engineer (senior),Company_32,Bordeaux,senior,35000,40000,"azure, docker, fastapi, git, java, python, streamlit","We are hiring a senior Software Engineer. Skills: azure, docker, fastapi, git, java, python, streamlit. Location: Bordeaux. Salary: 35000-40000."
job_0017,Data Scientist (mid),Company_22,Lyon,mid,35000,50000,"azure, gcp, ml, nlp, pandas, python, sklearn, sql, streamlit","We are hiring a mid Data Scientist. Skills: azure, gcp, ml, nlp, pandas, python, sklearn, sql, streamlit. Location: Lyon. Salary: 35000-50000."
job_0018,Software Engineer (junior),Company_75,Toulouse,junior,45000,55000,"azure, docker, gcp, git, python, react, tests","We are hiring a junior Software Engineer. Skills: azure, docker, gcp, git, python, react, tests. Location: Toulouse. Salary: 45000-55000."
job_0019,NLP Engineer (junior),Company_77,Bordeaux,junior,35000,40000,"bert, faiss, python, rag, retrieval, transformers","We are hiring a junior NLP Engineer. Skills: bert, faiss, python, rag, retrieval, transformers. Location: Bordeaux. Salary: 35000-40000."
job_0020,Data Scientist (senior),Company_41,Lille,senior,50000,55000,"azure, fastapi, ml, nlp, pandas, python, sklearn, sql","We are hiring a senior Data Scientist. Skills: azure, fastapi, ml, nlp, pandas, python, sklearn, sql. Location: Lille. Salary: 50000-55000."
job_0021,Data Engineer (mid),Company_10,Toulouse,mid,40000,55000,"airflow, aws, dbt, python, spark, sql","We are hiring a mid Data Engineer. Skills: airflow, aws, dbt, python, spark, sql. Location: Toulouse. Salary: 40000-55000."
job_0022,NLP Engineer (junior),Company_79,Nantes,junior,40000,50000,"bert, ci/cd, faiss, fastapi, python, retrieval, transformers","We are hiring a junior NLP Engineer. Skills: bert, ci/cd, faiss, fastapi, python, retrieval, transformers. Location: Nantes. Salary: 40000-50000."
job_0023,NLP Engineer (junior),Company_37,Nantes,junior,60000,65000,"bert, fastapi, python, rag, retrieval","We are hiring a junior NLP Engineer. Skills: bert, fastapi, python, rag, retrieval. Location: Nantes. Salary: 60000-65000."
job_0024,NLP Engineer (junior),Company_1,Bordeaux,junior,40000,55000,"bert, ci/cd, faiss, fastapi, gcp, python, rag, retrieval, transformers","We are hiring a junior NLP Engineer. Skills: bert, ci/cd, faiss, fastapi, gcp, python, rag, retrieval, transformers. Location: Bordeaux. Salary: 40000-55000."
job_0025,ML Engineer (junior),Company_5,Nantes,junior,40000,55000,"api, docker, faiss, kubernetes, mlops, python","We are hiring a junior ML Engineer. Skills: api, docker, faiss, kubernetes, mlops, python. Location: Nantes. Salary: 40000-55000."
job_0026,ML Engineer (senior),Company_32,Marseille,senior,50000,55000,"api, docker, linux, python, pytorch","We are hiring a senior ML Engineer. Skills: api, docker, linux, python, pytorch. Location: Marseille. Salary: 50000-55000."
job_0027,Data Scientist (mid),Company_23,Toulouse,mid,55000,70000,"nlp, pandas, sklearn, sql","We are hiring a mid Data Scientist. Skills: nlp, pandas, sklearn, sql. Location: Toulouse. Salary: 55000-70000."
job_0028,ML Engineer (mid),Company_29,Lille,mid,45000,50000,"api, azure, ci/cd, docker, fastapi, kubernetes, mlops, python, pytorch","We are hiring a mid ML Engineer. Skills: api, azure, ci/cd, docker, fastapi, kubernetes, mlops, python, pytorch. Location: Lille. Salary: 45000-50000."
job_0029,Data Scientist (senior),Company_34,Lille,senior,50000,60000,"ci/cd, gcp, ml, pandas, python, sklearn, sql","We are hiring a senior Data Scientist. Skills: ci/cd, gcp, ml, pandas, python, sklearn, sql. Location: Lille. Salary: 50000-60000."
job_0030,Data Engineer (senior),Company_6,Nantes,senior,35000,40000,"airflow, aws, dbt, fastapi, python, spark, sql","We are hiring a senior Data Engineer. Skills: airflow, aws, dbt, fastapi, python, spark, sql. Location: Nantes. Salary: 35000-40000."
job_0031,Software Engineer (junior),Company_39,Lille,junior,45000,55000,"docker, git, react, tests","We are hiring a junior Software Engineer. Skills: docker, git, react, tests. Location: Lille. Salary: 45000-55000."
job_0032,NLP Engineer (mid),Company_73,Toulouse,mid,45000,55000,"bert, faiss, python, rag, retrieval, transformers","We are hiring a mid NLP Engineer. Skills: bert, faiss, python, rag, retrieval, transformers. Location: Toulouse. Salary: 45000-55000."
job_0033,ML Engineer (mid),Company_66,Paris,mid,45000,55000,"azure, docker, kubernetes, linux, mlops, pytorch, streamlit","We are hiring a mid ML Engineer. Skills: azure, docker, kubernetes, linux, mlops, pytorch, streamlit. Location: Paris. Salary: 45000-55000."
job_0034,Software Engineer (senior),Company_19,Marseille,senior,60000,65000,"azure, ci/cd, docker, git, python, react, tests","We are hiring a senior Software Engineer. Skills: azure, ci/cd, docker, git, python, react, tests. Location: Marseille. Salary: 60000-65000."
job_0035,Data Scientist (junior),Company_19,Lille,junior,50000,65000,"azure, ci/cd, ml, nlp, sklearn, sql, streamlit","We are hiring a junior Data Scientist. Skills: azure, ci/cd, ml, nlp, sklearn, sql, streamlit. Location: Lille. Salary: 50000-65000."
job_0036,Data Scientist (junior),Company_72,Toulouse,junior,40000,45000,"azure, faiss, ml, nlp, pandas, python, sklearn, sql, streamlit","We are hiring a junior Data Scientist. Skills: azure, faiss, ml, nlp, pandas, python, sklearn, sql, streamlit. Location: Toulouse. Salary: 40000-45000."
job_0037,NLP Engineer (mid),Company_36,Remote,mid,55000,70000,"azure, bert, ci/cd, faiss, python, rag, retrieval, transformers","We are hiring a mid NLP Engineer. Skills: azure, bert, ci/cd, faiss, python, rag, retrieval, transformers. Location: Remote. Salary: 55000-70000."
job_0038,NLP Engineer (mid),Company_11,Lille,mid,45000,55000,"bert, faiss, fastapi, rag, transformers","We are hiring a mid NLP Engineer. Skills: bert, faiss, fastapi, rag, transformers. Location: Lille. Salary: 45000-55000."
job_0039,Data Engineer (junior),Company_54,Lille,junior,50000,65000,"aws, dbt, faiss, fastapi, python, sql, streamlit","We are hiring a junior Data Engineer. Skills: aws, dbt, faiss, fastapi, python, sql, streamlit. Location: Lille. Salary: 50000-65000."
job_0040,Data Scientist (junior),Company_54,Toulouse,junior,50000,65000,"ci/cd, ml, nlp, pandas, python, sklearn, sql, streamlit","We are hiring a junior Data Scientist. Skills: ci/cd, ml, nlp, pandas, python, sklearn, sql, streamlit. Location: Toulouse. Salary: 50000-65000."
job_0041,NLP Engineer (senior),Company_17,Lille,senior,50000,55000,"azure, bert, faiss, linux, python, rag, streamlit, transformers","We are hiring a senior NLP Engineer. Skills: azure, bert, faiss, linux, python, rag, streamlit, transformers. Location: Lille. Salary: 50000-55000."
job_0042,NLP Engineer (senior),Company_49,Paris,senior,50000,65000,"azure, bert, faiss, fastapi, gcp, python, rag, retrieval, transformers","We are hiring a senior NLP Engineer. Skills: azure, bert, faiss, fastapi, gcp, python, rag, retrieval, transformers. Location: Paris. Salary: 50000-65000."
job_0043,ML Engineer (junior),Company_70,Remote,junior,45000,55000,"api, docker, kubernetes, python, pytorch","We are hiring a junior ML Engineer. Skills: api, docker, kubernetes, python, pytorch. Location: Remote. Salary: 45000-55000."
job_0044,Data Scientist (mid),Company_61,Lille,mid,60000,65000,"azure, ml, nlp, pandas, python, sklearn, sql","We are hiring a mid Data Scientist. Skills: azure, ml, nlp, pandas, python, sklearn, sql. Location: Lille. Salary: 60000-65000."
job_0045,Data Scientist (senior),Company_75,Lille,senior,50000,65000,"ml, pandas, python, sklearn, sql","We are hiring a senior Data Scientist. Skills: ml, pandas, python, sklearn, sql. Location: Lille. Salary: 50000-65000."
job_0046,Data Scientist (mid),Company_77,Toulouse,mid,50000,65000,"ci/cd, linux, nlp, pandas, python, sql","We are hiring a mid Data Scientist. Skills: ci/cd, linux, nlp, pandas, python, sql. Location: Toulouse. Salary: 50000-65000."
job_0047,Data Scientist (senior),Company_54,Paris,senior,45000,60000,"ml, nlp, pandas, python, sql","We are hiring a senior Data Scientist. Skills: ml, nlp, pandas, python, sql. Location: Paris. Salary: 45000-60000."
job_0048,Software Engineer (junior),Company_35,Toulouse,junior,45000,60000,"ci/cd, docker, faiss, git, java, python, streamlit, tests","We are hiring a junior Software Engineer. Skills: ci/cd, docker, faiss, git, java, python, streamlit, tests. Location: Toulouse. Salary: 45000-60000."
job_0049,ML Engineer (junior),Company_64,Lyon,junior,45000,55000,"api, kubernetes, mlops, pytorch","We are hiring a junior ML Engineer. Skills: api, kubernetes, mlops, pytorch. Location: Lyon. Salary: 45000-55000."
job_0050,ML Engineer (junior),Company_31,Remote,junior,40000,50000,"api, docker, gcp, kubernetes, mlops, python","We are hiring a junior ML Engineer. Skills: api, docker, gcp, kubernetes, mlops, python. Location: Remote. Salary: 40000-50000."
job_0051,Software Engineer (mid),Company_32,Lille,mid,60000,70000,"docker, git, java, python, react, streamlit, tests","We are hiring a mid Software Engineer. Skills: docker, git, java, python, react, streamlit, tests. Location: Lille. Salary: 60000-70000."
job_0052,ML Engineer (senior),Company_16,Bordeaux,senior,50000,65000,"api, azure, docker, fastapi, kubernetes, mlops, python, pytorch","We are hiring a senior ML Engineer. Skills: api, azure, docker, fastapi, kubernetes, mlops, python, pytorch. Location: Bordeaux. Salary: 50000-65000."
job_0053,Data Engineer (mid),Company_38,Lyon,mid,60000,75000,"airflow, aws, azure, dbt, gcp, python, spark, sql","We are hiring a mid Data Engineer. Skills: airflow, aws, azure, dbt, gcp, python, spark, sql. Location: Lyon. Salary: 60000-75000."
job_0054,Data Engineer (mid),Company_63,Marseille,mid,45000,50000,"airflow, aws, dbt, linux, python, spark, sql","We are hiring a mid Data Engineer. Skills: airflow, aws, dbt, linux, python, spark, sql. Location: Marseille. Salary: 45000-50000."
job_0055,Data Scientist (junior),Company_9,Nantes,junior,50000,60000,"ml, nlp, pandas, python, sql","We are hiring a junior Data Scientist. Skills: ml, nlp, pandas, python, sql. Location: Nantes. Salary: 50000-60000."
job_0056,Software Engineer (mid),Company_72,Lyon,mid,55000,70000,"docker, gcp, git, java, python, react, tests","We are hiring a mid Software Engineer. Skills: docker, gcp, git, java, python, react, tests. Location: Lyon. Salary: 55000-70000."
job_0057,Software Engineer (senior),Company_27,Lille,senior,55000,65000,"docker, java, python, react, tests","We are hiring a senior Software Engineer. Skills: docker, java, python, react, tests. Location: Lille. Salary: 55000-65000."
job_0058,Data Engineer (mid),Company_61,Lyon,mid,40000,45000,"aws, dbt, faiss, linux, python, sql, streamlit","We are hiring a mid Data Engineer. Skills: aws, dbt, faiss, linux, python, sql, streamlit. Location: Lyon. Salary: 40000-45000."
job_0059,ML Engineer (junior),Company_76,Lille,junior,45000,60000,"api, ci/cd, docker, kubernetes, linux, mlops, python","We are hiring a junior ML Engineer. Skills: api, ci/cd, docker, kubernetes, linux, mlops, python. Location: Lille. Salary: 45000-60000."
job_0060,Data Engineer (mid),Company_73,Lyon,mid,55000,60000,"airflow, aws, dbt, faiss, linux, python, spark, sql","We are hiring a mid Data Engineer. Skills: airflow, aws, dbt, faiss, linux, python, spark, sql. Location: Lyon. Salary: 55000-60000."
job_0061,ML Engineer (mid),Company_56,Lyon,mid,50000,65000,"api, ci/cd, docker, faiss, gcp, kubernetes, mlops, pytorch","We are hiring a mid ML Engineer. Skills: api, ci/cd, docker, faiss, gcp, kubernetes, mlops, pytorch. Location: Lyon. Salary: 50000-65000."
job_0062,ML Engineer (senior),Company_23,Nantes,senior,35000,40000,"api, docker, faiss, gcp, mlops, python","We are hiring a senior ML Engineer. Skills: api, docker, faiss, gcp, mlops, python. Location: Nantes. Salary: 35000-40000."
job_0063,Software Engineer (senior),Company_14,Remote,senior,45000,50000,"docker, fastapi, git, java, linux, python, react, tests","We are hiring a senior Software Engineer. Skills: docker, fastapi, git, java, linux, python, react, tests. Location: Remote. Salary: 45000-50000."
job_0064,Data Engineer (mid),Company_15,Toulouse,mid,60000,70000,"airflow, aws, ci/cd, dbt, fastapi, python, sql","We are hiring a mid Data Engineer. Skills: airflow, aws, ci/cd, dbt, fastapi, python, sql. Location: Toulouse. Salary: 60000-70000."
job_0065,Software Engineer (senior),Company_27,Paris,senior,60000,75000,"docker, gcp, java, linux, python, react, streamlit, tests","We are hiring a senior Software Engineer. Skills: docker, gcp, java, linux, python, react, streamlit, tests. Location: Paris. Salary: 60000-75000."
job_0066,ML Engineer (senior),Company_71,Marseille,senior,45000,55000,"api, docker, faiss, gcp, kubernetes, mlops, python, pytorch","We are hiring a senior ML Engineer. Skills: api, docker, faiss, gcp, kubernetes, mlops, python, pytorch. Location: Marseille. Salary: 45000-55000."
job_0067,Software Engineer (junior),Company_35,Lille,junior,35000,45000,"docker, faiss, java, linux, react, tests","We are hiring a junior Software Engineer. Skills: docker, faiss, java, linux, react, tests. Location: Lille. Salary: 35000-45000."
job_0068,Software Engineer (mid),Company_44,Remote,mid,40000,50000,"ci/cd, docker, git, java, python, react, streamlit, tests","We are hiring a mid Software Engineer. Skills: ci/cd, docker, git, java, python, react, streamlit, tests. Location: Remote. Salary: 40000-50000."
job_0069,NLP Engineer (mid),Company_70,Paris,mid,45000,60000,"ci/cd, faiss, fastapi, python, rag, retrieval, transformers","We are hiring a mid NLP Engineer. Skills: ci/cd, faiss, fastapi, python, rag, retrieval, transformers. Location: Paris. Salary: 45000-60000."
job_0070,Software Engineer (mid),Company_41,Bordeaux,mid,40000,55000,"docker, git, java, tests","We are hiring a mid Software Engineer. Skills: docker, git, java, tests. Location: Bordeaux. Salary: 40000-55000."
job_0071,Software Engineer (senior),Company_2,Toulouse,senior,50000,65000,"docker, faiss, gcp, git, java, python, react, streamlit, tests","We are hiring a senior Software Engineer. Skills: docker, faiss, gcp, git, java, python, react, streamlit, tests. Location: Toulouse. Salary: 50000-65000."
job_0072,Data Engineer (mid),Company_69,Marseille,mid,35000,45000,"airflow, aws, ci/cd, dbt, linux, python, spark","We are hiring a mid Data Engineer. Skills: airflow, aws, ci/cd, dbt, linux, python, spark. Location: Marseille. Salary: 35000-45000."
job_0073,Software Engineer (mid),Company_13,Remote,mid,55000,60000,"docker, git, java, python, react, tests","We are hiring a mid Software Engineer. Skills: docker, git, java, python, react, tests. Location: Remote. Salary: 55000-60000."
job_0074,Software Engineer (junior),Company_68,Nantes,junior,35000,40000,"azure, docker, git, java, python, react","We are hiring a junior Software Engineer. Skills: azure, docker, git, java, python, react. Location: Nantes. Salary: 35000-40000."
job_0075,Software Engineer (senior),Company_60,Marseille,senior,40000,45000,"azure, docker, git, java, tests","We are hiring a senior Software Engineer. Skills: azure, docker, git, java, tests. Location: Marseille. Salary: 40000-45000."
job_0076,ML Engineer (mid),Company_55,Nantes,mid,60000,65000,"docker, faiss, fastapi, kubernetes, mlops, python, pytorch","We are hiring a mid ML Engineer. Skills: docker, faiss, fastapi, kubernetes, mlops, python, pytorch. Location: Nantes. Salary: 60000-65000."
job_0077,ML Engineer (mid),Company_3,Nantes,mid,40000,50000,"docker, fastapi, kubernetes, linux, mlops, python, pytorch","We are hiring a mid ML Engineer. Skills: docker, fastapi, kubernetes, linux, mlops, python, pytorch. Location: Nantes. Salary: 40000-50000."
job_0078,Software Engineer (mid),Company_25,Paris,mid,55000,70000,"docker, git, java, linux, python, react, tests","We are hiring a mid Software Engineer. Skills: docker, git, java, linux, python, react, tests. Location: Paris. Salary: 55000-70000."
job_0079,NLP Engineer (mid),Company_38,Marseille,mid,60000,65000,"bert, faiss, gcp, python, rag, retrieval, transformers","We are hiring a mid NLP Engineer. Skills: bert, faiss, gcp, python, rag, retrieval, transformers. Location: Marseille. Salary: 60000-65000."
job_0080,ML Engineer (senior),Company_38,Toulouse,senior,40000,45000,"api, ci/cd, docker, mlops, python, streamlit","We are hiring a senior ML Engineer. Skills: api, ci/cd, docker, mlops, python, streamlit. Location: Toulouse. Salary: 40000-45000."
job_0081,ML Engineer (junior),Company_16,Remote,junior,35000,40000,"api, docker, faiss, fastapi, gcp, kubernetes, python","We are hiring a junior ML Engineer. Skills: api, docker, faiss, fastapi, gcp, kubernetes, python. Location: Remote. Salary: 35000-40000."
job_0082,Software Engineer (mid),Company_9,Nantes,mid,55000,65000,"docker, git, java, linux, python, react, tests","We are hiring a mid Software Engineer. Skills: docker, git, java, linux, python, react, tests. Location: Nantes. Salary: 55000-65000."
job_0083,Software Engineer (senior),Company_69,Nantes,senior,60000,70000,"azure, ci/cd, gcp, git, java, python, tests","We are hiring a senior Software Engineer. Skills: azure, ci/cd, gcp, git, java, python, tests. Location: Nantes. Salary: 60000-70000."
job_0084,Data Engineer (mid),Company_63,Remote,mid,45000,60000,"airflow, aws, dbt, python, spark, sql","We are hiring a mid Data Engineer. Skills: airflow, aws, dbt, python, spark, sql. Location: Remote. Salary: 45000-60000."
job_0085,NLP Engineer (mid),Company_48,Nantes,mid,35000,50000,"faiss, python, rag, retrieval, transformers","We are hiring a mid NLP Engineer. Skills: faiss, python, rag, retrieval, transformers. Location: Nantes. Salary: 35000-50000."
job_0086,NLP Engineer (senior),Company_7,Bordeaux,senior,35000,45000,"bert, faiss, python, retrieval, transformers","We are hiring a senior NLP Engineer. Skills: bert, faiss, python, retrieval, transformers. Location: Bordeaux. Salary: 35000-45000."
job_0087,ML Engineer (junior),Company_77,Marseille,junior,55000,60000,"api, azure, ci/cd, mlops, python, pytorch","We are hiring a junior ML Engineer. Skills: api, azure, ci/cd, mlops, python, pytorch. Location: Marseille. Salary: 55000-60000."
job_0088,Data Scientist (mid),Company_76,Marseille,mid,40000,55000,"azure, ci/cd, ml, pandas, python, sklearn, sql","We are hiring a mid Data Scientist. Skills: azure, ci/cd, ml, pandas, python, sklearn, sql. Location: Marseille. Salary: 40000-55000."
job_0089,ML Engineer (junior),Company_61,Marseille,junior,45000,50000,"api, docker, kubernetes, python","We are hiring a junior ML Engineer. Skills: api, docker, kubernetes, python. Location: Marseille. Salary: 45000-50000."
job_0090,Software Engineer (mid),Company_8,Lyon,mid,50000,65000,"git, java, python, react","We are hiring a mid Software Engineer. Skills: git, java, python, react. Location: Lyon. Salary: 50000-65000."
job_0091,Software Engineer (mid),Company_17,Toulouse,mid,60000,65000,"docker, gcp, git, java, python, tests","We are hiring a mid Software Engineer. Skills: docker, gcp, git, java, python, tests. Location: Toulouse. Salary: 60000-65000."
job_0092,ML Engineer (senior),Company_44,Bordeaux,senior,50000,65000,"api, azure, ci/cd, docker, kubernetes, mlops, python, pytorch, streamlit","We are hiring a senior ML Engineer. Skills: api, azure, ci/cd, docker, kubernetes, mlops, python, pytorch, streamlit. Location: Bordeaux. Salary: 50000-65000."
job_0093,Software Engineer (mid),Company_12,Toulouse,mid,60000,65000,"ci/cd, docker, gcp, git, java, linux, python, react","We are hiring a mid Software Engineer. Skills: ci/cd, docker, gcp, git, java, linux, python, react. Location: Toulouse. Salary: 60000-65000."
job_0094,Software Engineer (junior),Company_53,Bordeaux,junior,40000,55000,"docker, git, react, tests","We are hiring a junior Software Engineer. Skills: docker, git, react, tests. Location: Bordeaux. Salary: 40000-55000."
job_0095,ML Engineer (senior),Company_62,Toulouse,senior,60000,65000,"api, docker, kubernetes, linux, mlops, python","We are hiring a senior ML Engineer. Skills: api, docker, kubernetes, linux, mlops, python. Location: Toulouse. Salary: 60000-65000."
job_0096,Data Engineer (junior),Company_78,Bordeaux,junior,55000,65000,"airflow, dbt, spark, sql","We are hiring a junior Data Engineer. Skills: airflow, dbt, spark, sql. Location: Bordeaux. Salary: 55000-65000."
job_0097,ML Engineer (junior),Company_12,Marseille,junior,45000,60000,"api, azure, ci/cd, docker, gcp, kubernetes, mlops, python","We are hiring a junior ML Engineer. Skills: api, azure, ci/cd, docker, gcp, kubernetes, mlops, python. Location: Marseille. Salary: 45000-60000."
job_0098,NLP Engineer (junior),Company_7,Toulouse,junior,50000,60000,"bert, faiss, rag, retrieval, transformers","We are hiring a junior NLP Engineer. Skills: bert, faiss, rag, retrieval, transformers. Location: Toulouse. Salary: 50000-60000."
job_0099,Data Engineer (junior),Company_15,Paris,junior,60000,65000,"airflow, aws, azure, dbt, faiss, fastapi, spark, sql","We are hiring a junior Data Engineer. Skills: airflow, aws, azure, dbt, faiss, fastapi, spark, sql. Location: Paris. Salary: 60000-65000."
job_0100,ML Engineer (mid),Company_1,Lyon,mid,45000,60000,"api, docker, kubernetes, mlops, python, pytorch","We are hiring a mid ML Engineer. Skills: api, docker, kubernetes, mlops, python, pytorch. Location: Lyon. Salary: 45000-60000."
job_0101,Data Engineer (mid),Company_49,Lille,mid,40000,50000,"aws, azure, dbt, python, spark, sql","We are hiring a mid Data Engineer. Skills: aws, azure, dbt, python, spark, sql. Location: Lille. Salary: 40000-50000."
job_0102,NLP Engineer (senior),Company_59,Lille,senior,55000,70000,"bert, faiss, python, rag, retrieval, transformers","We are hiring a senior NLP Engineer. Skills: bert, faiss, python, rag, retrieval, transformers. Location: Lille. Salary: 55000-70000."
job_0103,Data Scientist (mid),Company_59,Toulouse,mid,55000,65000,"azure, faiss, ml, nlp, pandas, python, sklearn, sql","We are hiring a mid Data Scientist. Skills: azure, faiss, ml, nlp, pandas, python, sklearn, sql. Location: Toulouse. Salary: 55000-65000."
job_0104,ML Engineer (junior),Company_22,Toulouse,junior,35000,40000,"azure, docker, fastapi, kubernetes, mlops, python, pytorch","We are hiring a junior ML Engineer. Skills: azure, docker, fastapi, kubernetes, mlops, python, pytorch. Location: Toulouse. Salary: 35000-40000."
job_0105,Data Scientist (senior),Company_19,Lyon,senior,55000,70000,"ml, nlp, python, sql","We are hiring a senior Data Scientist. Skills: ml, nlp, python, sql. Location: Lyon. Salary: 55000-70000."
job_0106,ML Engineer (junior),Company_9,Marseille,junior,55000,60000,"api, azure, docker, kubernetes, mlops, python, pytorch, streamlit","We are hiring a junior ML Engineer. Skills: api, azure, docker, kubernetes, mlops, python, pytorch, streamlit. Location: Marseille. Salary: 55000-60000."
job_0107,Software Engineer (mid),Company_48,Nantes,mid,45000,60000,"gcp, git, java, linux, python, react, streamlit","We are hiring a mid Software Engineer. Skills: gcp, git, java, linux, python, react, streamlit. Location: Nantes. Salary: 45000-60000."
job_0108,ML Engineer (junior),Company_58,Lyon,junior,55000,70000,"api, azure, docker, faiss, gcp, kubernetes, mlops, python, pytorch","We are hiring a junior ML Engineer. Skills: api, azure, docker, faiss, gcp, kubernetes, mlops, python, pytorch. Location: Lyon. Salary: 55000-70000."
job_0109,Data Scientist (mid),Company_48,Lyon,mid,55000,70000,"fastapi, pandas, python, sklearn, sql","We are hiring a mid Data Scientist. Skills: fastapi, pandas, python, sklearn, sql. Location: Lyon. Salary: 55000-70000."
job_0110,ML Engineer (mid),Company_78,Toulouse,mid,45000,60000,"api, docker, fastapi, kubernetes, linux, mlops, python, pytorch","We are hiring a mid ML Engineer. Skills: api, docker, fastapi, kubernetes, linux, mlops, python, pytorch. Location: Toulouse. Salary: 45000-60000."
job_0111,Data Engineer (mid),Company_40,Lyon,mid,55000,70000,"airflow, aws, python, spark","We are hiring a mid Data Engineer. Skills: airflow, aws, python, spark. Location: Lyon. Salary: 55000-70000."
job_0112,NLP Engineer (mid),Company_47,Bordeaux,mid,40000,55000,"bert, faiss, python, rag, retrieval, transformers","We are hiring a mid NLP Engineer. Skills: bert, faiss, python, rag, retrieval, transformers. Location: Bordeaux. Salary: 40000-55000."
job_0113,ML Engineer (junior),Company_65,Lille,junior,45000,55000,"api, ci/cd, gcp, mlops, python, pytorch","We are hiring a junior ML Engineer. Skills: api, ci/cd, gcp, mlops, python, pytorch. Location: Lille. Salary: 45000-55000."
job_0114,NLP Engineer (senior),Company_57,Paris,senior,60000,70000,"bert, faiss, linux, python, rag, retrieval, transformers","We are hiring a senior NLP Engineer. Skills: bert, faiss, linux, python, rag, retrieval, transformers. Location: Paris. Salary: 60000-70000."
job_0115,Data Scientist (mid),Company_40,Bordeaux,mid,60000,75000,"azure, ci/cd, faiss, ml, nlp, pandas, sklearn","We are hiring a mid Data Scientist. Skills: azure, ci/cd, faiss, ml, nlp, pandas, sklearn. Location: Bordeaux. Salary: 60000-75000."
